URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-guideline-release-type,0.2.0,active,,GuidelineReleaseType,Guideline Release Type,"CodeSystem defining different guideline release types","ValueSet/vs-guideline-release-type"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-guideline-sections,0.2.0,active,,GuidelineSectionsCS,Guideline Sections,"Sections of a guideline, describing various aspects such as its intention, target patient group, care setting, and other relevant contextual information.","ValueSet/vs-guideline-sections,ValueSet/vs-content-types"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-intended-audience,0.2.0,active,,IntendedAudienceCS,Intended Audience Code System,"CodeSystem defining possible intended audiences for a section","ValueSet/vs-intended-audience"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-level-of-consensus,0.2.0,active,,LevelOfConsensusCS,Level of Consensus,"CodeSystem defining the values representing the level of consensus for a recommendation.","ValueSet/vs-level-of-consensus"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-medical-subject-categories,0.2.0,active,,MedicalSubjectCategoriesCS,Medical Subject Categories,"CodeSystem defining values to classify medical subjects into different categories.","ValueSet/vs-medical-subject-categories"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-ocebm-2009-levels-of-evidence,0.2.0,active,,OCEBM2009LevelsOfEvidence,OCEBM 2009 Levels of Evidence,"CodeSystem representing the Oxford Centre for Evidence-Based Medicine 2009 CEBM Levels of Evidence","ValueSet/vs-ocebm-2009-levels-of-evidence"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-ocebm-2011-levels-of-evidence,0.2.0,active,,OCEBM2011LevelsOfEvidence,OCEBM 2011 Levels of Evidence,"CodeSystem representing the Oxford Centre for Evidence-Based Medicine 2011 Levels of Evidence.","ValueSet/ocebm-2011-levels-of-evidence-vs"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-pico,0.2.0,active,,PICOCS,PICO Related Terms,"CodeSystem defining different terms related to PICO question and objects","ValueSet/vs-pico"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-direction,0.2.0,active,,RecommendationDirectionCS,Recommendation Direction,"CodeSystem defining the direction of a clinical recommendation.","ValueSet/vs-recommendation-direction"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-review-status,0.2.0,active,,RecommendationReviewStatusCS,Recommendation Review Status Code System,"CodeSystem defining values indicating how a recommendation relates to a new revision of a recommendation","ValueSet/vs-recommendation-review-status"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-strength-awmf,0.2.0,active,,RecommendationStrengthAWMF,Recommendation Strength (AWMF),"CodeSystem defining the grading of recommendations according to German guideline methodology as used in AWMF S3 guidelines.","ValueSet/vs-recommendation-strength-awmf"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-synthesis-type,0.2.0,active,,RecommendationSynthesisTypeCS,Recommendation Synthesis Type,"CodeSystem defining values representing the synthesis type of a recommendation","ValueSet/vs-recommendation-synthesis-type"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-tags,0.2.0,active,,RecommendationTagsCS,Recommendation Tags,"CodeSystem defining codes to represent tags for recommendations","ValueSet/vs-recommendation-tags"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-related-artifact-types,0.2.0,active,,RelatedArtifactTypes,Related Artifact Types,"CodeSystem defining types of related artifacts that can be part of a guideline.","ValueSet/vs-dissemination-website"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-remark-type,0.2.0,active,,RemarkType,Remark Type,"CodeSystem defining different types of remarks that can be associated with guidelines, including restrictions, warnings, and additional notes.","ValueSet/vs-remark-type"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-rob-2-overall-judgment,0.2.0,active,,RoB2OverallJudment,RoB2 Overall Judgment,"CodeSystem representing the overall judgment of risk of bias assessed by the RoB2 tool for evaluating risk of bias for randomized trials.","ValueSet/vs-rob-2-overall-judgment"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-robis-judgment-of-risk-of-bias,0.2.0,active,,ROBISJudgmentOfRiskOfBias,ROBIS Judgment of Risk of Bias,"CodeSystem representing the judgment of risk of bias assessed by the ROBIS tool for evaluating risk of bias in systematic reviews.","ValueSet/vs-robis-judgment-of-risk-of-bias"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-robis-risk-of-bias-domains,0.2.0,active,,ROBISRiskOfBiasDomains,ROBIS Risk of Bias Domains,"CodeSystem representing the domains assessed by the ROBIS tool for evaluating risk of bias in systematic reviews.","ValueSet/vs-robis-risk-of-bias-domains"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-sign-grade-of-recommendation,0.2.0,active,,SIGNGradeOfRecommendation,SIGN Grade of Recommendation,"CodeSystem representing the Scottish Intercollegiate Guidelines Network (SIGN) Grades of Recommendation.","ValueSet/vs-sign-grade-of-recommendation"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-sign-level-of-evidence,0.2.0,active,,SIGNLevelOfEvidence,SIGN Level of Evidence,"CodeSystem representing the Scottish Intercollegiate Guidelines Network (SIGN) Levels of Evidence.","ValueSet/vs-sign-level-of-evidence"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-target-patient-group,0.2.0,active,,TargetPatientGroup,Target Patient Group,"CodeSystem defining the intended patient population for whom the guideline is applicable.","ValueSet/vs-target-patient-group"
http://hl7.org/fhir/composition-status,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.4.242,2.16.840.1.113883.4.642.2.123,2.16.840.1.113883.4.642.1.237",CompositionStatus,Composition Status,"The workflow/clinical status of the composition.","ConceptMap/FHIRStatusToAWMFStatus"
http://hl7.org/fhir/uv/ebm/CodeSystem/evidence-rating-system-classifier-codesystem,1.0.0-ballot3,active,"2.16.840.1.113883.4.642.40.44.16.5",EvidenceRatingSystemClassifierCodeSystem,Evidence Rating System Classifier Code System,"Codes for use with the EvidenceAssessment Profile, to provide values for the content.classifier element where content.type is Rating System.","ValueSet/evidence-rating-system-classifier"
http://terminology.hl7.org/CodeSystem/certainty-rating,2.0.0,draft,"2.16.840.1.113883.4.642.1.1415",StatisticCertaintyRating,StatisticCertaintyRating,"The relative quality of the statistic.","ValueSet/vs-rating-certainty-of-evidence,ValueSet/vs-rating-concern-degree"
http://terminology.hl7.org/CodeSystem/recommendation-strength,1.0.1,active,"2.16.840.1.113883.4.642.1.1268",StrengthOfRecommendationRating,StrengthOfRecommendationRating,"A rating system that describes the strength of the recommendation, such as the GRADE, DynaMed, or HGPS systems.","ValueSet/recommendation-strength"
https://fevir.net/resources/CodeSystem/179423,1.0.0-ballot3,active,"2.16.840.1.113883.4.642.40.44.16.1",Cs_ebm_ig,Evidence Based Medicine on FHIR Implementation Guide Code System,"This code system is a temporary workspace while drafting the Evidence Based Medicine Implementation Guide. It may not be stable and may not be persistent.","ValueSet/vs-guideline-sections"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
