URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-equity,0.1.0,draft,,RatingEquity,Rating Equity,"ValueSet listing values to represent how the different alternatives affect equity",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-feasibility,0.1.0,draft,,RatingFeasibility,Rating Feasibility,"ValueSet listing values to reprensent how feasible will it be to implement the different alternatives and if there are any issues",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-preference-and-values,0.1.0,draft,,RatingPreferenceAndValues,Rating Preference And Values,"ValueSet listing typical patient preferences and values as well as common issues or expected variability",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-resources,0.1.0,draft,,RatingResources,Rating Resources,"ValueSet listing values to indicate if there are issues related to costs or resource use.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-recommendation-strength-awmf,0.1.0,draft,,RecommendationStrengthAWMFVS,Recommendation Strength (AWMF) ValueSet,"ValueSet of strength of recommendations as defined in AWMF guideline methodology.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-recommendation-synthesis-type,0.1.0,draft,,RecommendationSynthesisTypeVS,Recommendation Synthesis Type,"ValueSet listing different synthesis Types of recommendations",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-recommendation-tags,0.1.0,draft,,RecommendationTagsVS,Recommendation Tags,"ValueSet listing different tags to use for recommendations",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-recommendation-version-status,0.1.0,draft,,RecommendationVersionStatusVS,Recommendation Version Status Value Set,"ValueSet representing the version-related status of a recommendation in a new guideline version",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-remark-type,0.1.0,draft,,RemarkTypeVS,Remark Type,"ValueSet listing types of remarks that can be associated with guidelines, including restrictions, warnings, and additional notes.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rob-2-overall-judgment,0.1.0,draft,,RoB2OverallJudmentVS,RoB2 Overall Judgment ValueSet,"ValueSet listing values to represent the overall judgment of risk of bias assessed by the RoB2 tool for evaluating risk of bias for randomized trials.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-robis-judgment-of-risk-of-bias,0.1.0,active,,ROBISJudgmentOfRiskOfBiasVS,ROBIS Judgment of Risk of Bias Value Set,"ValueSet encompassing all risk of bias judgment values from the ROBIS tool.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-robis-risk-of-bias-domains,0.1.0,active,,ROBISRiskOfBiasDomainsVS,ROBIS Risk of Bias Domains Value Set,"ValueSet encompassing all risk of bias domains from the ROBIS tool.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-target-patient-group,0.1.0,draft,,TargetPatientGroupVS,Target Patient Group,"ValueSet listing patient population categories for guidelines, such as adults and children/adolescents.",,"Internal"
