URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_33.html,2025.3.20250714,active,"1.2.840.10008.6.1.1283",Modality,,"Transitive closure of CID 33 Modality","StructureDefinition/guideline-attachment","DICOM"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-ocebm-2009-levels-of-evidence,0.2.0,draft,,OCEBM2009LevelsOfEvidenceVS,OCEBM 2009 Levels of Evidence Value Set,"ValueSet encompassing all levels from the Oxford Centre for Evidence-Based Medicine 2009 Levels of Evidence.","StructureDefinition/recommendation-justification-oxford-2009","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-pico,0.2.0,draft,,PICOVS,PICO related terms,"ValueSet listing different terms related to PICO question and objects",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-acceptability,0.2.0,draft,,RatingAcceptability,Rating Acceptability,"ValueSet defining if the alternatives are acceptable for the target population and its implementors?","StructureDefinition/recommendation-justification-grade","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-benefits-and-harms,0.2.0,draft,,RatingBenefitAndHarms,Rating Benefits And Harms,"ValueSet listing values to represent the summary of the most important benefits and harms","StructureDefinition/recommendation-justification-grade","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-certainty-of-evidence,0.2.0,draft,,RatingCertaintyofEvidence,Rating Certainty Of Evidence,"Codes from EvidenceCertaintyRating related to certainty of evidence","StructureDefinition/recommendation-justification-grade,StructureDefinition/evidence-overall-assessment-grade","THO"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-concern-degree,0.2.0,draft,,RatingConcernDegree,Rating Concern Degree,"ValueSet listing codes from EvidenceCertaintyRating related to degree of concern",,"THO"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-equity,0.2.0,draft,,RatingEquity,Rating Equity,"ValueSet listing values to represent how the different alternatives affect equity","StructureDefinition/recommendation-justification-grade","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-feasibility,0.2.0,draft,,RatingFeasibility,Rating Feasibility,"ValueSet listing values to reprensent how feasible will it be to implement the different alternatives and if there are any issues","StructureDefinition/recommendation-justification-grade","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-preference-and-values,0.2.0,draft,,RatingPreferenceAndValues,Rating Preference And Values,"ValueSet listing typical patient preferences and values as well as common issues or expected variability","StructureDefinition/recommendation-justification-grade","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rating-resources,0.2.0,draft,,RatingResources,Rating Resources,"ValueSet listing values to indicate if there are issues related to costs or resource use.","StructureDefinition/recommendation-justification-grade","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-recommendation-direction,0.2.0,draft,,RecommendationDirectionVS,Recommendation Direction,"ValueSet defining the direction of a clinical recommendation.","StructureDefinition/recommendation-justification-grade,StructureDefinition/recommendation-justification-sign,StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/recommendation-justification,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/recommendation-justification-awmf","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-recommendation-review-status,0.2.0,draft,,RecommendationReviewStatusVS,Recommendation Review Status Value Set,"ValueSet representing the review-related status of a recommendation in a new guideline version","StructureDefinition/ext-recommendation-review-status","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-recommendation-strength-awmf,0.2.0,draft,,RecommendationStrengthAWMFVS,Recommendation Strength (AWMF) ValueSet,"ValueSet of strength of recommendations as defined in AWMF guideline methodology.","StructureDefinition/recommendation-justification-awmf","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-recommendation-synthesis-type,0.2.0,draft,,RecommendationSynthesisTypeVS,Recommendation Synthesis Type,"ValueSet listing different synthesis Types of recommendations","StructureDefinition/recommendation","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-recommendation-tags,0.2.0,draft,,RecommendationTagsVS,Recommendation Tags,"ValueSet listing different tags to use for recommendations","StructureDefinition/recommendation","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-remark-type,0.2.0,draft,,RemarkTypeVS,Remark Type,"ValueSet listing types of remarks that can be associated with guidelines, including restrictions, warnings, and additional notes.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-rob-2-overall-judgment,0.2.0,draft,,RoB2OverallJudmentVS,RoB2 Overall Judgment ValueSet,"ValueSet listing values to represent the overall judgment of risk of bias assessed by the RoB2 tool for evaluating risk of bias for randomized trials.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-robis-judgment-of-risk-of-bias,0.2.0,active,,ROBISJudgmentOfRiskOfBiasVS,ROBIS Judgment of Risk of Bias Value Set,"ValueSet encompassing all risk of bias judgment values from the ROBIS tool.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-robis-risk-of-bias-domains,0.2.0,active,,ROBISRiskOfBiasDomainsVS,ROBIS Risk of Bias Domains Value Set,"ValueSet encompassing all risk of bias domains from the ROBIS tool.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-sign-grade-of-recommendation,0.2.0,draft,,SIGNGradeOfRecommendationVS,SIGN Grade of Recommendation Value Set,"ValueSet encompassing all grades of recommendation from the SIGN (Scottish Intercollegiate Guidelines Network) Grades of Recommendation.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-sign-level-of-evidence,0.2.0,draft,,SIGNLevelOfEvidenceVS,SIGN Level of Evidence Value Set,"ValueSet encompassing all levels from the SIGN (Scottish Intercollegiate Guidelines Network) Levels of Evidence.","StructureDefinition/recommendation-justification-sign","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-target-patient-group,0.2.0,draft,,TargetPatientGroupVS,Target Patient Group,"ValueSet listing patient population categories for guidelines, such as adults and children/adolescents.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","Internal"
http://hl7.org/fhir/ValueSet/administrative-gender,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/guideline-author","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/all-languages,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/guideline-author-role,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/guideline-attachment,StructureDefinition/conceptual-cohort-definition-intervention,StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/pico-question,StructureDefinition/recommendation-justification-sign,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/citation-list,StructureDefinition/awmf-member-organization,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/evidence-overall-assessment-grade,StructureDefinition/recommendation-justification-awmf,StructureDefinition/awmf-guideline-record-s1,StructureDefinition/medical-society,StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/patient-organization,StructureDefinition/recommendation,StructureDefinition/outcome-evidence,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/recommendation-justification,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/recommendation-justification-grade,StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/guideline-author,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/evidence-report-with-contact-slices","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/artifact-relationship-type,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.2957",ArtifactRelationshipType,Artifact Relationship Type,"Type of relationship to the related artifact.","StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/recommendation-justification-sign,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/evidence-overall-assessment-grade,StructureDefinition/recommendation-justification-awmf,StructureDefinition/awmf-guideline-record-s1,StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/recommendation,StructureDefinition/outcome-evidence,StructureDefinition/recommendation-justification,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/recommendation-justification-grade,StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/evidence-report-with-contact-slices","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/artifactassessment-disposition,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3155",ArtifactAssessmentDisposition,Artifact Assessment Disposition,"Possible values for the disposition of a comment or change request, typically used for comments and change requests, to indicate the disposition of the responsible party towards the changes suggested by the comment or change request.","StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/recommendation-justification,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/recommendation-justification-grade,StructureDefinition/recommendation-justification-sign,StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/recommendation-justification-awmf,StructureDefinition/evidence-overall-assessment-grade","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/artifactassessment-workflow-status,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3157",ArtifactAssessmentWorkflowStatus,Artifact Assessment Workflow Status,"Possible values for the workflow status of the comment or assessment, typically used to coordinate workflow around the process of accepting and rejecting changes and comments on the artifact.","StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/recommendation-justification,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/recommendation-justification-grade,StructureDefinition/recommendation-justification-sign,StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/recommendation-justification-awmf,StructureDefinition/evidence-overall-assessment-grade","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/attribute-estimate-type,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3050",AttributeEstimateType,Attribute Estimate Type,"A statistic about a statistic, e.g.  Confidence interval or p-value","StructureDefinition/outcome-evidence","THO"
http://hl7.org/fhir/ValueSet/body-site,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.653,2.16.840.1.113883.4.642.2.78,2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/guideline-attachment","SCT"
http://hl7.org/fhir/ValueSet/c80-facilitycodes,6.0.0-ballot3,active,"2.16.840.1.113883.3.88.12.80.67,2.16.840.1.113883.4.642.2.131",FacilityTypeCodeValueSet,Facility Type Code Value Set,"This is the code representing the type of organizational setting where the clinical encounter,    service, interaction, or treatment occurred. The value set used for Healthcare Facility    Type has been defined by HITSP to be the value set reproduced from HITSP C80 Table 2-147.","StructureDefinition/guideline-attachment","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.2.134,2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who    interacted with, treated, or provided a service to/for the patient. The value set used    for clinical specialty has been limited by HITSP to the value set reproduced from HITSP    C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/guideline-author-role,StructureDefinition/guideline-attachment","SCT"
http://hl7.org/fhir/ValueSet/certainty-rating,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3049",EvidenceCertaintyRating,Evidence Certainty Rating,"The assessment of quality, confidence, or certainty.","StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/outcome-evidence,StructureDefinition/recommendation-justification,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/recommendation-justification-grade,StructureDefinition/recommendation-justification-sign,StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/recommendation-justification-awmf,StructureDefinition/evidence-overall-assessment-grade","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/certainty-type,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3043",EvidenceCertaintyType,Evidence Certainty Type,"The aspect of quality, confidence, or certainty.","StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/outcome-evidence,StructureDefinition/recommendation-justification,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/recommendation-justification-grade,StructureDefinition/recommendation-justification-sign,StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/recommendation-justification-awmf,StructureDefinition/evidence-overall-assessment-grade","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/characteristic-offset,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3061",CharacteristicOffset,Characteristic Offset,"Reference point for characteristic.valueQuantity.","StructureDefinition/pico-question,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/conceptual-cohort-definition-intervention","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/citation-artifact-classifier,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3092",CitationArtifactClassifier,Citation Artifact Classifier,"Citation artifact classifier","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/common-tags,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","THO (V3),THO"
http://hl7.org/fhir/ValueSet/composition-attestation-mode,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.233,2.16.840.1.113883.4.642.3.238,2.16.840.1.113883.4.642.2.120",CompositionAttestationMode,Composition Attestation Mode,"The way in which a person authenticated a composition.","StructureDefinition/guideline-attachment","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/composition-status,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.2.123,2.16.840.1.113883.4.642.3.236,2.16.840.1.113883.4.642.3.241",CompositionStatus,Composition Status,"The workflow/clinical status of the composition.","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/guideline-attachment,StructureDefinition/recommendation,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/contact-point-system,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/contact-point-use,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/definition-method,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3059",DefinitionMethod,Definition Method,"The method used to define, describe, or determine a characteristic value.","StructureDefinition/pico-question,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/conceptual-cohort-definition-intervention","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/doc-section-codes,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.232,2.16.840.1.113883.4.642.2.119,2.16.840.1.113883.4.642.3.237",DocumentSectionCodes,Document Section Codes,"Document section codes (LOINC codes used in CCDA sections).","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","LOINC"
http://hl7.org/fhir/ValueSet/doc-typecodes,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.235,2.16.840.1.113883.4.642.2.121,2.16.840.1.113883.4.642.3.240",FHIRDocumentTypeCodes,FHIR Document Type Codes,"FHIR Document Codes - all LOINC codes where scale type = 'DOC'.","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/guideline-attachment,StructureDefinition/recommendation,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","LOINC"
http://hl7.org/fhir/ValueSet/document-reference-status,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.7",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","StructureDefinition/guideline-attachment","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/document-relationship-type,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.244,2.16.840.1.113883.4.642.3.239,2.16.840.1.113883.4.642.2.133",DocumentRelationshipType,Document Relationship Type,"The type of relationship between documents.","StructureDefinition/guideline-attachment","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/example-characteristic-codes,6.0.0-ballot3,draft,,ExampleCharacteristicCodes,Example Characterist ic Codes,"This value set contains an example set of LOINC codes that might be used to define common characteristics for grouping individuals in FHIR Group resources.","StructureDefinition/pico-question,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/conceptual-cohort-definition-intervention","LOINC"
http://hl7.org/fhir/ValueSet/group-characteristic-combination,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.1344",GroupCharacteristicCombination,Group Characteristic Combination,"Logical grouping of characteristics for the Group Resource.","StructureDefinition/pico-question,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/conceptual-cohort-definition-intervention","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/group-code,6.0.0-ballot3,draft,,GroupCode,Group Code,"A code that describes the use of the group. The use of the group usually dictates what kind of entities can be members of the group","StructureDefinition/pico-question,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/conceptual-cohort-definition-intervention","hl7.fhir.r6.core"
