"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping","Mapping: Object Implementation Information"
"ArtifactAssessment","ArtifactAssessment","","","",0,*,"","","","null {[]} {[]}
","Adds metadata-supported comments, classifiers or ratings related to a Resource","This Resource provides one or more comments, classifiers or ratings about a Resource and supports attribution and rights management metadata for the added content.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id.trace('id') in %resource.descendants().select(reference | as(uri))) or descendants().where(reference='#' | as(uri)='#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","clinical.general","Entity, Role, or Act,Act[classCode=ACT; moodCode=DEFN]"
"ArtifactAssessment.artifact[x]:artifactReference","ArtifactAssessment.artifact[x]","artifactReference","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://fhir.awmf.org/awmf.ig/StructureDefinition/recommendation]]}
","The artifact assessed, commented upon or rated","A reference to a resource, canonical resource, or non-FHIR resource which the comment or assessment is about.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.artifact[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.what[x]"
"ArtifactAssessment.relatesTo","ArtifactAssessment.relatesTo","","","",0,*,"","","","BackboneElement {[]} {[]}
","Relationship to other Resources","Relationship that this ArtifactAssessment has with other FHIR or non-FHIR resources that already exist.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.relatesTo",0,*,"","ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.relatesTo.id","ArtifactAssessment.relatesTo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ArtifactAssessment.relatesTo.extension","ArtifactAssessment.relatesTo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"ArtifactAssessment.relatesTo.modifierExtension","ArtifactAssessment.relatesTo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"ArtifactAssessment.relatesTo.type","ArtifactAssessment.relatesTo.type","","","",1,1,"","","","code {[]} {[]}
","documentation | justification | predecessor | successor | derived-from | depends-on | composed-of | part-of | amends | amended-with | appends | appended-with | cites | cited-by | comments-on | comment-in | contains | contained-in | corrects | correction-in | replaces | replaced-with | retracts | retracted-by | signs | similar-to | supports | supported-with | transforms | transformed-into | transformed-with | specification-of | created-with | cite-as | summarizes","The type of relationship to the related artifact.","","","","","","","","","",,"required","The type of relationship to the related artifact.","http://hl7.org/fhir/ValueSet/artifact-relationship-type|6.0.0-ballot3","",,,,"ArtifactAssessment.relatesTo.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.relatesTo.target[x]","ArtifactAssessment.relatesTo.target[x]","","","",1,1,"","","","uri {[]} {[]}
Attachment {[]} {[]}canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}markdown {[]} {[]}","The artifact that is related to this ArtifactAssessment","The artifact that is related to this ArtifactAssessment Resource.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.relatesTo.target[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.date","ArtifactAssessment.date","","Revision Date
","",0,1,"","","Y","dateTime {[]} {[]}
","Date last changed","The date  (and optionally time) when the artifact assessment was published. The date must change when the disposition changes and it must change if the workflow status code changes. In addition, it should change when the substantive content of the artifact assessment changes.","The date is often not tracked until the resource is published, but may be present on draft content. Note that this is not the same as the resource last-modified-date, since the resource may be a secondary representation of the artifact assessment. Additional specific dates may be added as extensions or be found by consulting Provenances associated with past versions of the resource.","","","","","","","","",,,,,"",,,,"ArtifactAssessment.date",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.recorded",".participation[typeCode=AUT].time"
"ArtifactAssessment.copyright","ArtifactAssessment.copyright","","License
Restrictions","",0,1,"","","","markdown {[]} {[]}
","Use and/or publishing restrictions","A copyright statement relating to the artifact assessment and/or its contents. Copyright statements are generally legal restrictions on the use and publishing of the artifact assessment.","","Consumers must be able to determine any legal restrictions on the use of the artifact assessment and/or its content.","","","","","","","",,,,,"",,,,"ArtifactAssessment.copyright",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A (to add?)","no-gen-base"
"ArtifactAssessment.approvalDate","ArtifactAssessment.approvalDate","","","",0,1,"","","","date {[]} {[]}
","When the artifact assessment was approved by publisher","The date on which the resource content was approved by the publisher. Approval happens once when the content is officially approved for usage.","The 'date' element may be more recent than the approval date because of minor changes or editorial corrections.","","","","","","","","",,,,,"",,,,"ArtifactAssessment.approvalDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship[typeCode=""SUBJ""].act[classCode=CACT;moodCode=EVN;code=""approval""].effectiveTime","no-gen-base"
"ArtifactAssessment.lastReviewDate","ArtifactAssessment.lastReviewDate","","","",0,1,"","","Y","date {[]} {[]}
","When the artifact assessment was last reviewed by the publisher","The date on which the resource content was last reviewed. Review happens periodically after approval but does not change the original approval date.","If specified, this date follows the original approval date.","Gives a sense of how ""current"" the content is.  Resources that have not been reviewed in a long time may have a risk of being less appropriate/relevant.","","","","","","","",,,,,"",,,,"ArtifactAssessment.lastReviewDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship[typeCode=""SUBJ""; subsetCode=""RECENT""].act[classCode=CACT;moodCode=EVN;code=""review""].effectiveTime","no-gen-base"
"ArtifactAssessment.content","ArtifactAssessment.content","","","",0,*,"","","","BackboneElement {[]} {[]}
","Comment, classifier, or rating content","A component comment, classifier, or rating of the artifact.","","","","","","","","","",,,,,"","value:type}
","",,"open","ArtifactAssessment.content",0,*,"","ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content.id","ArtifactAssessment.content.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ArtifactAssessment.content.extension","ArtifactAssessment.content.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"ArtifactAssessment.content.modifierExtension","ArtifactAssessment.content.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"ArtifactAssessment.content.summary","ArtifactAssessment.content.summary","","","",0,1,"","","","markdown {[]} {[]}
","Brief summary of the content","A brief summary of the content of this component.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content.summary",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content.type","ArtifactAssessment.content.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","What type of content","Indicates what type of content this component represents.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/certainty-type|6.0.0-ballot3","",,,,"ArtifactAssessment.content.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content.classifier","ArtifactAssessment.content.classifier","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Rating, classifier, or assessment","Represents a rating, classifier, or assessment of the artifact.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/certainty-rating|6.0.0-ballot3","",,,,"ArtifactAssessment.content.classifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content.quantity","ArtifactAssessment.content.quantity","","","",0,1,"","","","Quantity {[]} {[]}
","Quantitative rating","A quantitative rating of the artifact.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content.quantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content.author","ArtifactAssessment.content.author","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|6.0.0-ballot3], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|6.0.0-ballot3], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|6.0.0-ballot3], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|6.0.0-ballot3], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|6.0.0-ballot3]]}
","Who authored the content","Indicates who or what authored the content.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content.author",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content.path","ArtifactAssessment.content.path","","","",0,*,"","","","uri {[]} {[]}
","What the comment is directed to","A URI that points to what the comment is about, such as a line of text in the CQL, or a specific element in a resource.","The target element is used to point the comment to aspect of the artifact, such as a text range within a CQL library (e.g. #content?0:0-120:80).","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content.path",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content.relatesTo","ArtifactAssessment.content.relatesTo","","","",0,*,"","","","null {[]} {[]}
","Relationship to other Resources","Relationship that this content component has with other FHIR or non-FHIR resources that already exist.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content.relatesTo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content.freeToShare","ArtifactAssessment.content.freeToShare","","","",0,1,"","","","boolean {[]} {[]}
","Acceptable to publicly share the content","Acceptable to publicly share the comment, classifier or rating.","Absence of a value should be interpreted as inheriting any freeToShare value present in a containing structure, else inheriting data from the ArtifactAssessment.copyright element, else value unknown.","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content.freeToShare",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content.component","ArtifactAssessment.content.component","","","",0,*,"","","","null {[]} {[]}
","Comment, classifier, or rating content","A component comment, classifier, or rating of the artifact.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content.component",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content:recommendationRating","ArtifactAssessment.content","recommendationRating","","",0,1,"","","","BackboneElement {[]} {[]}
","Comment, classifier, or rating content","A component comment, classifier, or rating of the artifact.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content",0,*,"","ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content:recommendationRating.id","ArtifactAssessment.content.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ArtifactAssessment.content:recommendationRating.extension","ArtifactAssessment.content.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"ArtifactAssessment.content:recommendationRating.modifierExtension","ArtifactAssessment.content.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"ArtifactAssessment.content:recommendationRating.summary","ArtifactAssessment.content.summary","","","",0,1,"","","","markdown {[]} {[]}
","Brief summary of the content","A brief summary of the content of this component.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content.summary",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content:recommendationRating.type","ArtifactAssessment.content.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","What type of content","Indicates what type of content this component represents.","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""https://fevir.net/resources/CodeSystem/179423""/>
    <code value=""recommendation-rating""/>
    <display value=""Recommendation Rating""/>
  </coding>
</valueCodeableConcept>","","","",,"example","","http://hl7.org/fhir/ValueSet/certainty-type|6.0.0-ballot3","",,,,"ArtifactAssessment.content.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content:recommendationRating.classifier","ArtifactAssessment.content.classifier","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Rating, classifier, or assessment","Represents a rating, classifier, or assessment of the artifact.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/certainty-rating|6.0.0-ballot3","",,,,"ArtifactAssessment.content.classifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ArtifactAssessment.content:recommendationRating.quantity","ArtifactAssessment.content.quantity","","","",0,1,"","","","Quantity {[]} {[]}
","Quantitative rating","A quantitative rating of the artifact.","","","","","","","","","",,,,,"",,,,"ArtifactAssessment.content.quantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
