URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-direction,0.2.0,active,,RecommendationDirectionCS,Recommendation Direction,"CodeSystem defining the direction of a clinical recommendation.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-review-status,0.2.0,active,,RecommendationReviewStatusCS,Recommendation Review Status Code System,"CodeSystem defining values indicating how a recommendation relates to a new revision of a recommendation",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-strength-awmf,0.2.0,active,,RecommendationStrengthAWMF,Recommendation Strength (AWMF),"CodeSystem defining the grading of recommendations according to German guideline methodology as used in AWMF S3 guidelines.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-synthesis-type,0.2.0,active,,RecommendationSynthesisTypeCS,Recommendation Synthesis Type,"CodeSystem defining values representing the synthesis type of a recommendation",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-recommendation-tags,0.2.0,active,,RecommendationTagsCS,Recommendation Tags,"CodeSystem defining codes to represent tags for recommendations",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-related-artifact-types,0.2.0,active,,RelatedArtifactTypes,Related Artifact Types,"CodeSystem defining types of related artifacts that can be part of a guideline.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-remark-type,0.2.0,active,,RemarkType,Remark Type,"CodeSystem defining different types of remarks that can be associated with guidelines, including restrictions, warnings, and additional notes.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-rob-2-overall-judgment,0.2.0,active,,RoB2OverallJudment,RoB2 Overall Judgment,"CodeSystem representing the overall judgment of risk of bias assessed by the RoB2 tool for evaluating risk of bias for randomized trials.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-robis-judgment-of-risk-of-bias,0.2.0,active,,ROBISJudgmentOfRiskOfBias,ROBIS Judgment of Risk of Bias,"CodeSystem representing the judgment of risk of bias assessed by the ROBIS tool for evaluating risk of bias in systematic reviews.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-robis-risk-of-bias-domains,0.2.0,active,,ROBISRiskOfBiasDomains,ROBIS Risk of Bias Domains,"CodeSystem representing the domains assessed by the ROBIS tool for evaluating risk of bias in systematic reviews.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-sign-grade-of-recommendation,0.2.0,active,,SIGNGradeOfRecommendation,SIGN Grade of Recommendation,"CodeSystem representing the Scottish Intercollegiate Guidelines Network (SIGN) Grades of Recommendation.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-sign-level-of-evidence,0.2.0,active,,SIGNLevelOfEvidence,SIGN Level of Evidence,"CodeSystem representing the Scottish Intercollegiate Guidelines Network (SIGN) Levels of Evidence.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-target-patient-group,0.2.0,active,,TargetPatientGroup,Target Patient Group,"CodeSystem defining the intended patient population for whom the guideline is applicable.",
